timestamp,ticker,strike_price,crypto_price,mins_left,yes_ask,no_ask,yes_bid,no_bid,yes_depth_1,yes_depth_3,yes_depth_all,no_depth_1,no_depth_3,no_depth_all,yes_levels,no_levels,spread
2026-03-06T14:25:12.731610+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36887,4.79,89,12,88,11,17,19,88939,29,43,3948,61,11,1
2026-03-06T14:25:13.782679+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36887,4.77,89,12,88,11,17,19,88939,29,43,3948,61,11,1
2026-03-06T14:25:14.799053+00:00,KXXRP15M-26MAR060930-30,1.3648,1.3685,4.76,89,12,88,11,17,19,88442,29,43,4022,59,11,1
2026-03-06T14:25:20.163481+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36843,4.67,89,15,85,11,17,19,88629,80029,80043,83737,58,11,4
2026-03-06T14:25:21.115209+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36843,4.65,89,15,85,11,17,19,88629,80029,80043,84001,58,11,4
2026-03-06T14:25:22.000946+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36843,4.64,89,15,85,11,17,19,88629,80029,80043,83737,58,11,4
2026-03-06T14:25:22.912854+00:00,KXXRP15M-26MAR060930-30,1.3648,1.3682,4.62,89,15,85,11,17,19,88629,29,43,3737,58,11,4
2026-03-06T14:25:23.942301+00:00,KXXRP15M-26MAR060930-30,1.3648,1.3682,4.6,89,15,85,11,17,19,88629,29,43,4235,58,11,4
2026-03-06T14:25:24.913340+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36844,4.59,89,15,85,11,17,19,88601,29,43,4235,58,11,4
2026-03-06T14:25:25.978311+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36844,4.57,89,15,85,11,17,19,88638,80029,80043,84075,58,13,4
2026-03-06T14:25:27.132795+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36844,4.55,89,15,85,11,17,19,88638,80029,80043,84075,58,13,4
2026-03-06T14:25:27.901090+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36844,4.54,89,15,85,11,17,19,88638,80029,80043,84075,58,13,4
2026-03-06T14:25:28.942569+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36813,4.52,87,16,84,13,17,19,88638,80029,80043,84075,58,13,3
2026-03-06T14:25:30.496631+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36813,4.5,87,16,84,13,17,19,88639,29,80043,84057,57,12,3
2026-03-06T14:25:30.987413+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36813,4.49,87,16,84,13,17,19,88639,29,80043,84057,57,12,3
2026-03-06T14:25:31.926190+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36813,4.47,87,16,84,13,17,19,88713,29,80043,83971,58,12,3
2026-03-06T14:25:32.953290+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36764,4.45,87,16,84,13,17,19,92622,80029,80043,84011,58,12,3
2026-03-06T14:25:33.903904+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36764,4.44,87,16,84,13,17,19,92622,80029,80043,84011,58,12,3
2026-03-06T14:25:39.126913+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36769,4.35,83,20,80,17,17,19,88702,29,43,84035,59,14,3
2026-03-06T14:25:40.084032+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36769,4.33,83,20,80,17,17,19,88698,29,43,84100,57,15,3
2026-03-06T14:25:41.108938+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36753,4.32,83,20,80,17,17,19,88595,29,43,84100,59,15,3
2026-03-06T14:25:42.089141+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36753,4.3,83,20,80,17,17,19,88595,29,43,84100,59,15,3
2026-03-06T14:25:43.217478+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36727,4.28,83,20,80,17,17,19,88743,29,43,84021,59,15,3
2026-03-06T14:25:44.110868+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36727,4.27,83,20,80,17,17,19,88855,29,43,84136,60,14,3
2026-03-06T14:25:45.092418+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36728,4.25,83,20,80,17,17,19,88753,29,43,84020,59,14,3
2026-03-06T14:25:46.095648+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36728,4.23,83,20,80,17,17,19,88758,29,43,84020,59,14,3
2026-03-06T14:25:47.135797+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36728,4.22,83,20,80,17,17,19,88758,29,43,84020,59,14,3
2026-03-06T14:25:48.098661+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36728,4.2,83,20,80,17,17,19,88862,29,43,84020,60,14,3
2026-03-06T14:25:49.143452+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36728,4.18,82,21,79,18,17,19,88862,29,43,84020,60,14,3
2026-03-06T14:25:50.222965+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36728,4.17,82,21,79,18,17,19,87385,29,43,4014,62,14,3
2026-03-06T14:25:51.109226+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36752,4.15,82,21,79,18,17,19,83754,172,186,2936,58,12,3
2026-03-06T14:25:52.085813+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36752,4.13,82,21,79,18,17,19,82504,80333,81947,84029,58,11,3
2026-03-06T14:25:53.084721+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36746,4.12,82,21,79,18,17,19,88754,333,1467,4029,59,11,3
2026-03-06T14:25:56.214721+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36746,4.06,82,21,79,18,17,19,88754,80333,81467,83795,59,11,3
2026-03-06T14:25:59.311025+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36746,4.01,89,13,87,11,17,19,92837,333,1467,3795,59,11,2
2026-03-06T14:26:00.268318+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36746,4.0,89,13,87,11,17,19,88857,333,1467,3706,60,11,2
2026-03-06T14:26:01.445687+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36746,3.98,89,13,87,11,17,19,88872,333,1467,3809,60,11,2
2026-03-06T14:26:02.294560+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36746,3.96,89,13,87,11,17,19,88872,80333,81467,83804,60,11,2
2026-03-06T14:26:03.250680+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36746,3.95,89,13,87,11,17,19,92761,333,1467,3804,60,11,2
2026-03-06T14:26:04.289939+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36746,3.93,89,13,87,11,17,19,92857,29,1643,2208,59,10,2
2026-03-06T14:26:05.240180+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36869,3.91,89,13,87,11,17,19,88806,319,1933,3686,56,11,2
2026-03-06T14:26:06.222787+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36869,3.9,89,13,87,11,17,19,88879,29,1163,3498,60,9,2
2026-03-06T14:26:07.310057+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36869,3.88,89,13,87,11,17,19,88773,315,1449,3784,60,9,2
2026-03-06T14:26:08.224338+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36869,3.86,89,13,87,11,17,19,88751,315,1449,3784,60,9,2
2026-03-06T14:26:09.225745+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36869,3.85,91,10,90,9,17,19,88857,1435,1929,3784,58,9,1
2026-03-06T14:26:10.347527+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36869,3.83,91,10,90,9,17,19,88856,1435,1929,3784,56,9,1
2026-03-06T14:26:13.405902+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36834,3.78,91,10,90,9,17,19,91479,1435,1929,3689,57,9,1
2026-03-06T14:26:16.354228+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36886,3.73,91,10,90,9,17,19,92669,2879,3253,3573,57,7,1
2026-03-06T14:26:19.399102+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36915,3.68,92,10,90,8,17,19,88819,1149,2893,3385,58,9,2
2026-03-06T14:26:22.675261+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36886,3.63,92,10,90,8,17,19,88713,1456,3200,3872,57,8,2
2026-03-06T14:26:23.487521+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36886,3.61,92,10,90,8,17,19,92819,1456,3200,3872,59,8,2
2026-03-06T14:26:24.467983+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36886,3.59,92,10,90,8,17,19,88713,1456,3200,3706,57,9,2
2026-03-06T14:26:25.622730+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36886,3.58,92,10,90,8,17,19,88819,1456,3200,3696,57,9,2
2026-03-06T14:26:26.479587+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36886,3.56,92,10,90,8,17,19,92819,1456,3200,3813,58,7,2
2026-03-06T14:26:30.736062+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36919,3.49,93,8,92,7,17,19,92735,1149,3202,3875,59,7,1
2026-03-06T14:26:31.726414+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36919,3.47,93,8,92,7,17,19,92735,1149,3202,3908,59,7,1
2026-03-06T14:26:36.836340+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36919,3.39,93,8,92,7,17,19,92840,1149,3172,3784,59,7,1
2026-03-06T14:26:41.951835+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36902,3.3,94,8,92,6,17,19,92840,1149,2755,2996,59,5,2
2026-03-06T14:26:42.983495+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36902,3.29,94,8,92,6,17,19,92840,2399,3801,3897,59,5,2
2026-03-06T14:26:44.003351+00:00,KXXRP15M-26MAR060930-30,1.3648,1.3691,3.27,94,8,92,6,17,19,92840,2399,3801,3897,59,5,2
2026-03-06T14:26:55.433683+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36917,3.08,96,6,94,4,17,19,92690,2399,3223,3502,59,6,2
2026-03-06T14:26:56.461410+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36917,3.06,96,6,94,4,17,19,92540,2399,3526,3805,60,6,2
2026-03-06T14:26:57.385189+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36917,3.04,96,6,94,4,17,19,92795,2399,3526,3833,60,6,2
2026-03-06T14:26:58.477644+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36917,3.03,96,6,94,4,17,19,92765,2399,3825,3958,59,6,2
2026-03-06T14:27:01.507592+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36888,2.98,94,7,93,6,17,19,92838,1149,3276,3923,58,7,1
2026-03-06T14:27:02.555374+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36888,2.96,94,7,93,6,17,19,88442,1149,3276,3516,56,7,1
2026-03-06T14:27:03.523536+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36888,2.94,94,7,93,6,17,19,88583,1149,1643,3304,58,6,1
2026-03-06T14:27:08.573017+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36792,2.86,94,7,93,6,17,19,88688,1149,1722,4267,58,7,1
2026-03-06T14:27:09.618228+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36792,2.84,93,9,91,7,17,19,88694,1149,1722,3959,59,7,2
2026-03-06T14:27:11.743236+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36792,2.81,93,9,91,7,17,19,92833,1629,3310,4247,58,6,2
