timestamp,ticker,strike_price,crypto_price,mins_left,yes_ask,no_ask,yes_bid,no_bid,yes_depth_1,yes_depth_3,yes_depth_all,no_depth_1,no_depth_3,no_depth_all,yes_levels,no_levels,spread
2026-03-06T04:27:28.749111+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.52,15,90,10,85,118,671,3317,404,406,91855,10,42,5
2026-03-06T04:27:29.725974+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.51,15,90,10,85,118,471,3029,404,406,84001,13,39,5
2026-03-06T04:27:30.746690+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.49,15,90,10,85,80118,80471,82828,50819,50821,134422,12,42,5
2026-03-06T04:27:31.812247+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.47,15,90,10,85,118,471,2961,404,13211,105643,12,42,5
2026-03-06T04:27:32.824840+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.46,15,90,10,85,80118,80471,83089,404,21211,113500,14,44,5
2026-03-06T04:27:33.736763+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.44,15,90,10,85,80118,80471,83089,404,21211,113708,14,42,5
2026-03-06T04:27:36.804931+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.39,15,90,10,85,118,206,81786,404,25211,106965,15,41,5
2026-03-06T04:27:37.795952+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.37,15,90,10,85,118,472,83303,404,25211,108545,16,41,5
2026-03-06T04:27:38.805924+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.35,18,83,17,82,118,472,83295,19611,27613,119972,16,42,1
2026-03-06T04:27:41.850072+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.3,18,83,17,82,118,472,83266,46819,46821,139077,15,41,1
2026-03-06T04:27:42.867946+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.29,18,83,17,82,118,472,83311,404,406,92813,13,44,1
2026-03-06T04:27:43.855926+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.27,18,83,17,82,118,472,83311,404,406,92813,13,45,1
2026-03-06T04:27:44.833926+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.25,18,83,17,82,143,497,83238,19611,27613,120077,14,44,1
2026-03-06T04:27:45.873415+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.24,18,83,17,82,143,497,83238,19611,27613,120077,14,44,1
2026-03-06T04:27:46.863927+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.22,18,83,17,82,143,80497,83238,46819,46821,139410,15,45,1
2026-03-06T04:27:49.914652+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.17,18,83,17,82,118,472,83278,46819,46821,139361,13,45,1
2026-03-06T04:27:52.983796+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.12,18,83,17,82,143,80547,83075,404,406,92945,14,43,1
2026-03-06T04:27:56.112212+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.07,18,83,17,82,118,80522,83511,404,406,92962,14,42,1
2026-03-06T04:27:57.123942+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.05,18,83,17,82,118,80522,83511,404,406,92912,14,42,1
2026-03-06T04:27:58.040357+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.03,18,83,17,82,118,80522,83449,404,406,92987,14,43,1
2026-03-06T04:27:59.044791+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.02,16,85,15,84,118,80522,83421,404,406,92987,15,43,1
2026-03-06T04:28:00.042632+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.0,16,85,15,84,80118,80522,83385,404,406,92964,14,43,1
2026-03-06T04:28:05.189931+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,1.91,16,85,15,84,423,511,3404,404,20226,112495,12,45,1
2026-03-06T04:28:06.247099+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.9,16,85,15,84,423,80511,83504,404,20226,112525,13,44,1
2026-03-06T04:28:07.166962+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.88,16,85,15,84,373,80511,83332,404,406,107908,13,43,1
2026-03-06T04:28:08.151540+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.87,16,85,15,84,423,1511,3432,404,406,107607,13,42,1
2026-03-06T04:28:09.563120+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.85,14,87,13,86,80456,80594,83324,50048,50050,156127,13,42,1
2026-03-06T04:28:10.170452+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.83,14,87,13,86,80456,80594,83325,50048,50050,156307,13,42,1
2026-03-06T04:28:12.388149+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.8,14,87,13,86,80456,80594,82340,50048,50050,155262,12,41,1
2026-03-06T04:28:13.290271+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.78,14,87,13,86,80506,80594,83340,404,20226,112765,12,43,1
2026-03-06T04:28:14.300394+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.76,14,87,13,86,80456,80594,83328,404,20226,112765,12,43,1
2026-03-06T04:28:17.422134+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.71,14,87,13,86,80456,80544,83247,25226,25228,131018,12,44,1
2026-03-06T04:28:18.465781+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.69,14,87,13,86,506,594,3325,25226,25228,130657,12,44,1
2026-03-06T04:28:19.456010+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.68,13,88,12,87,456,544,3264,25226,25228,130958,12,44,1
2026-03-06T04:28:20.420001+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.66,13,88,12,87,456,544,3164,25226,25228,131019,12,44,1
2026-03-06T04:28:21.417421+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.64,13,88,12,87,0,0,0,0,0,0,0,0,1
2026-03-06T04:28:22.412930+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.63,13,88,12,87,80456,80545,83178,25226,25228,130882,11,46,1
2026-03-06T04:28:23.389928+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.61,13,88,12,87,456,545,3354,25226,25228,130810,11,46,1
2026-03-06T04:28:24.424700+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.59,13,88,12,87,456,545,3525,25226,25228,130906,11,47,1
2026-03-06T04:28:25.469748+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.58,13,88,12,87,0,0,0,0,0,0,0,0,1
2026-03-06T04:28:26.447054+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.56,13,88,12,87,456,1245,3414,50048,50050,156591,11,43,1
2026-03-06T04:28:27.430595+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.54,13,88,12,87,456,1245,3501,50048,50050,156588,11,43,1
2026-03-06T04:28:28.393377+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.53,13,88,12,87,201,1165,3388,50048,50050,156608,11,44,1
2026-03-06T04:28:29.398328+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.51,12,89,11,88,201,1165,3388,50048,50050,156548,11,44,1
2026-03-06T04:28:30.475968+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.49,12,89,11,88,80201,81165,83155,50048,50050,156247,11,42,1
2026-03-06T04:28:31.415292+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.48,12,89,11,88,80201,80515,82296,404,406,92774,12,46,1
2026-03-06T04:28:32.416330+00:00,KXETH15M-26MAR052330-30,2079.06,2077.47,1.46,12,89,11,88,80201,80515,82296,404,406,92853,12,45,1
2026-03-06T04:28:33.430792+00:00,KXETH15M-26MAR052330-30,2079.06,2077.6,1.44,12,89,11,88,80251,80516,82261,404,406,92613,12,42,1
2026-03-06T04:28:34.410490+00:00,KXETH15M-26MAR052330-30,2079.06,2077.6,1.43,12,89,11,88,80251,80515,80592,404,406,93060,10,46,1
2026-03-06T04:28:39.539207+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.34,11,90,10,89,117,205,753,404,406,82763,9,44,1
2026-03-06T04:28:40.662798+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.33,11,90,10,89,167,534,2299,404,406,99403,9,45,1
2026-03-06T04:28:41.547916+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.31,11,90,10,89,167,534,2326,404,406,99463,8,46,1
2026-03-06T04:28:42.542027+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.29,11,90,10,89,117,484,2350,404,406,99583,8,48,1
2026-03-06T04:28:43.514095+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.28,11,90,10,89,117,484,2276,404,406,99523,8,47,1
2026-03-06T04:28:46.584369+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.22,11,90,10,89,117,484,2353,404,406,99765,9,46,1
2026-03-06T04:28:47.597645+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.21,11,90,10,89,117,484,2284,404,406,99579,9,45,1
2026-03-06T04:28:48.583894+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.19,11,90,10,89,117,484,2358,404,406,99639,9,47,1
2026-03-06T04:28:49.576720+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.17,11,90,10,89,117,484,2358,404,406,99738,9,45,1
2026-03-06T04:28:50.589518+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.16,11,90,10,89,117,484,2293,404,406,99725,9,47,1
2026-03-06T04:28:51.574402+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.14,11,90,10,89,117,484,2343,404,406,99725,10,47,1
2026-03-06T04:28:52.576920+00:00,KXETH15M-26MAR052330-30,2079.06,2077.07,1.12,11,90,10,89,117,486,2343,404,406,99605,7,46,1
2026-03-06T04:28:55.624660+00:00,KXETH15M-26MAR052330-30,2079.06,2077.85,1.07,11,90,10,89,1663,1754,2594,404,406,82927,7,46,1
2026-03-06T04:28:58.704712+00:00,KXETH15M-26MAR052330-30,2079.06,2077.85,1.02,10,93,7,90,399,2276,2494,804,806,83301,7,45,3
2026-03-06T04:29:01.863216+00:00,KXETH15M-26MAR052330-30,2079.06,2077.85,0.97,10,93,7,90,534,536,536,804,806,83360,4,47,3
2026-03-06T04:29:02.900297+00:00,KXETH15M-26MAR052330-30,2079.06,2077.85,0.95,10,93,7,90,534,534,534,804,806,83128,2,46,3
2026-03-06T04:29:03.890266+00:00,KXETH15M-26MAR052330-30,2079.06,2077.85,0.94,10,93,7,90,431,431,431,1204,1206,83938,1,46,3
2026-03-06T04:29:06.930194+00:00,KXETH15M-26MAR052330-30,2079.06,2077.85,0.89,10,93,7,90,0,0,0,0,0,0,0,0,3
2026-03-06T04:29:07.997509+00:00,KXETH15M-26MAR052330-30,2079.06,2077.85,0.87,10,93,7,90,0,0,0,1204,1206,84107,0,49,3
2026-03-06T04:29:08.941175+00:00,KXETH15M-26MAR052330-30,2079.06,2077.85,0.85,1,100,0,99,0,0,0,0,0,0,0,0,1
